q0,q1,q2,q3,q4,q5
-1.1994304134595748,0.7506176510847086,0.1326840665612317,0.7786737754210296,-0.3223404885061216,-0.5909672626257163
-1.1915431600265058,0.7432590250510356,0.1441961376006651,0.7903587915829634,-0.3238909884950796,-0.5792770176962775
-1.1835233415267166,0.7357767188593202,0.1559016978538507,0.8022402037349943,-0.325467548523344,-0.5673902888941956
-1.1753832697439612,0.7281822191206141,0.1677827772973322,0.8142997718911285,-0.3270677483034553,-0.5553253243674254
-1.167135554795547,0.7204872907843127,0.1798209704662049,0.8265188140823139,-0.3286891089006472,-0.5431008144447568
-1.158793071984162,0.7127039462116709,0.1919974848364989,0.8388782554656699,-0.330329099249214,-0.53073584250461
-1.1503689286497016,0.7048444142493219,0.2042931892075629,0.8513586774337155,-0.3319851426688786,-0.5182498358438323
-1.1418764310210967,0.6969211093027935,0.2166886620844471,0.8639403667235981,-0.3336546233811592,-0.5056625165464937
-1.1333290510681409,0.6889466004100265,0.2291642400602859,0.8766033645263218,-0.3353348930257369,-0.4929938523526834
-1.1247403933533178,0.6809335803148918,0.2417000661986817,0.8893275155959767,-0.3370232771768234,-0.4802640075273058
-1.1161241618836293,0.6728948345407076,0.2542761384160872,0.9020925173589668,-0.3387170818595282,-0.4674932937288772
-1.1074941269624214,0.6648432104637575,0.2668723578641893,0.9148779690232386,-0.3404136000662258,-0.4547021208783209
-1.0988640920412136,0.6567915863868073,0.2794685773122912,0.9276634206875104,-0.3421101182729233,-0.4419109480277648
-1.0902478605715251,0.6487528406126231,0.2920446495296967,0.9404284224505004,-0.343803922955628,-0.4291402342293362
-1.081659202856702,0.6407398205174883,0.3045804756680924,0.9531525735201554,-0.3454923071067146,-0.4164103894039586
-1.0731118229037462,0.6327653116247214,0.3170560536439314,0.9658155713228792,-0.3471725767512923,-0.4037417252101484
-1.0646193252751412,0.624842006678193,0.3294515265208156,0.9783972606127618,-0.3488420574635729,-0.3911544059128097
-1.056195181940681,0.616982474715844,0.3417472308918796,0.9908776825808072,-0.3504981008832374,-0.3786683992520318
-1.0478526991292958,0.6091991301432023,0.3539237452621736,1.003237123964163,-0.3521380912318043,-0.3663034273118852
-1.039604984180882,0.6015042018069008,0.3659619384310462,1.0154561661553487,-0.3537594518289962,-0.3540789173892165
-1.0314649123981263,0.5939097020681948,0.3778430178745277,1.027515734311483,-0.3553596516091075,-0.3420139528624463
-1.0234450938983368,0.5864273958764792,0.3895485781277137,1.039397146463514,-0.3569362116373719,-0.3301272240603643
-1.015557840465268,0.5790687698428061,0.4010606491671469,1.0510821626254478,-0.3584867116263299,-0.3184369791309255
-1.007815132400948,0.5718450013134027,0.4123617447932017,1.0625530339035762,-0.3600087964521957,-0.306960974910047
-1.0002285853775086,0.5647669274431879,0.4234349110124663,1.073792551605706,-0.3615001826712252,-0.2957164277904036
-0.9928094172890092,0.5578450142692906,0.4342637744201258,1.0847840963503876,-0.362958665036083,-0.284719964590224
-0.9855684151032672,0.551089325784567,0.4448325905823468,1.095511687176142,-0.36438212301221,-0.2739875734220875
-0.9785159017136844,0.5445094930111171,0.4551262924186575,1.1059600306506925,-0.3657685272941907,-0.2635345545617197
-0.971661702791074,0.538114683073804,0.4651305385843345,1.1161145699801902,-0.3671159463221207,-0.2533754713167891
-0.9650151136354872,0.5319135682737697,0.4748317618527828,1.1259615341184452,-0.3684225527979741,-0.2435241008957014
-0.9585848660280444,0.525914295161953,0.4842172174979203,1.135487986876154,-0.3696866302019707,-0.2339933852763993
-0.952379095082758,0.5201244536126085,0.493275031676561,1.144681876030127,-0.3709065793089436,-0.2247953820751554
-0.9464053060983632,0.5145510458968212,0.5019942498107978,1.1535320824325188,-0.3720809247047067,-0.2159412154153698
-0.9406703414101436,0.5092004557560262,0.5103648849703856,1.1620284691200573,-0.3732083213024219,-0.2074410267963661
-0.935180347241759,0.504078417475526,0.5183779662551241,1.170161930423269,-0.3742875608589663,-0.1993039259621872
-0.929940740557074,0.4991899849580067,0.5260255871772421,1.1779244410757137,-0.3753175784913004,-0.1915379417703924
-0.9249561759119842,0.4945395007970565,0.533300954043778,1.1853091053232037,-0.3762974591928343,-0.1841499730608528
-0.920230512306243,0.4901305653506836,0.5401984343389669,1.192310206033043,-0.3772264443497966,-0.1771457395245468
-0.9157667800352915,0.4859660058148318,0.5467136051066198,1.1989232538032495,-0.3781039382576001,-0.170529732572358
-0.9115671475420848,0.4820478452968998,0.5528433013325084,1.2051450360717846,-0.3789295146372108,-0.1643051662038702
-0.9076328882689172,0.4783772718892582,0.5585856643267498,1.2109736662257815,-0.3797029231515142,-0.1584739278761635
-0.9039643475092528,0.4749546077427671,0.5639401901061853,1.2164086327107766,-0.3804240959216832,-0.153036529372612
-0.9005609092595523,0.4717792781402926,0.5689077777767683,1.221450848139933,-0.3810931540435453,-0.1479920576716769
-0.8974209630710992,0.4688497805702247,0.5734907779159443,1.226102698403277,-0.3817104141039502,-0.1433381258157059
-0.8945418709018275,0.4661636537999959,0.5776930409550354,1.2303680917769169,-0.3822763946971372,-0.139070823779728
-0.8919199339681512,0.4637174469495974,0.5815199655616221,1.2342525080322804,-0.3827918229411022,-0.1351846693402484
-0.8895503595967889,0.4615066885650977,0.584978547021928,1.2377630475453365,-0.3832576409939656,-0.1316725589440479
-0.8874272280765918,0.4595258556921585,0.5880774256232019,1.2409084804058297,-0.3836750125703396,-0.128525718576976
-0.8855434595103739,0.4577683429495519,0.5908269350361015,1.243699295526503,-0.3840453294576954,-0.1257336546327471
-0.8838907806667369,0.4562264316026816,0.5932391506970753,1.2461477497523328,-0.3843702180327304,-0.1232841047817415
-0.8824596918318971,0.4548912586370961,0.595327938190748,1.2482679169697517,-0.3846515457777366,-0.1211629888397933
-0.8812394336615137,0.4537527858320083,0.5971090016323004,1.250075737215881,-0.3848914277969668,-0.1193543596369943
-0.880217954032519,0.4527997688338132,0.5985999320498552,1.2515890657877575,-0.3850922333330026,-0.1178403538864862
-0.8793818748949396,0.4520197262296027,0.5998202557668589,1.2528277223515625,-0.385256592283122,-0.1166011430532557
-0.878716459123732,0.4513989086206868,0.6007914827844667,1.2538135400518509,-0.385387401715666,-0.1156148842229357
-0.8782055773706013,0.4509222676961095,0.6015371551639198,1.254570414620778,-0.3854878323864071,-0.1148576709705953
-0.8778316749158346,0.450573425306164,0.6020828954089386,1.2551243534873304,-0.3855613352549157,-0.1143034842295431
-0.8775757385201282,0.4503346425359149,0.6024564548480944,1.2555035248865547,-0.3856116480009285,-0.1139241431601133
-0.8774172632764135,0.4501867887787112,0.6026877620172031,1.2557383069687822,-0.3856428015407147,-0.1136892560184731
-0.877334219461682,0.450109310809707,0.6028089710416994,1.2558613369088651,-0.3856591265434443,-0.1135661710254107
-0.8773030193888174,0.4500802018593753,0.602854510019025,1.255907560015396,-0.3856652599475554,-0.1135199272351372
-0.8772984842584215,0.4500759706870313,0.602861129401011,1.2559142788399436,-0.3856661514771213,-0.1135132054040752
-0.8773102859752611,0.4500641691480003,0.6028613790657824,1.2558994549654734,-0.3856638591220456,-0.1135105133069482
-0.8773914775603232,0.449982978786197,0.6028630966699917,1.2557974720183012,-0.3856480885401334,-0.1134919926428911
-0.877607581509086,0.4497668780933267,0.6028676683389862,1.255526028646756,-0.385606112699621,-0.113442697033828
-0.878019979784126,0.4493544860316133,0.602876392605332,1.2550080243306052,-0.3855260088222057,-0.1133486246012737
-0.8786860000762209,0.448688475773997,0.6028904822336637,1.2541714510304005,-0.3853966416277651,-0.1131966982892594
-0.879659002065451,0.4477154884443317,0.602911066045534,1.2529492848368209,-0.3852076465790769,-0.1129747461872576
-0.8809884636823018,0.4463860468575826,0.6029391907442632,1.2512793776200204,-0.3849494131265383,-0.1126714818531074
-0.8827200673687658,0.4446544692600234,0.602975822739789,1.249104348678971,-0.3846130679528856,-0.1122764846359394
-0.8848957863394451,0.4424787830694346,0.6030218499735159,1.246371476390809,-0.384190458217914,-0.1117801799991015
-0.8875539708426528,0.4398206386153001,0.6030780837431651,1.2430325898601782,-0.3836741348031966,-0.1111738198430833
-0.8907294344215155,0.4366452228790056,0.6031452605276236,1.2390439605685777,-0.3830573355568048,-0.1104494628284421
-0.8944535401750757,0.4329211732340352,0.6032240438117945,1.2343661940237038,-0.382333968538027,-0.1095999546987273
-0.8987542870193932,0.42862049118617,0.6033150259114459,1.2289641214087983,-0.3814985952620888,-0.1086189086034062
-0.903656395948648,0.4237184561136844,0.6034187297980611,1.2228066912319908,-0.3805464139448722,-0.1075006854207889
-0.9091813962962416,0.4181935390075451,0.6035356109236877,1.2158668609756451,-0.3794732427476354,-0.1062403740809537
-0.9153477119958998,0.4120273162116068,0.6036660590457876,1.2081214887457037,-0.3782755030217319,-0.1048337718886717
-0.9221707478427744,0.4052043831628119,0.6038104000520865,1.1995512249210334,-0.3769502025533311,-0.1032773648463329
-0.929662975754546,0.3977122681313855,0.6039688977854233,1.1901404038027694,-0.3754949188081365,-0.1015683079768706
-0.9378340210325242,0.3895413459610359,0.6041417558686001,1.1798769352636618,-0.3739077821761065,-0.0997044056466872
-0.9466907486227528,0.3806847518091488,0.6043291195292313,1.1687521963974188,-0.3721874592161728,-0.0976840918885788
-0.9562373493771088,0.3711382948869882,0.6045310774245938,1.1567609231680536,-0.3703331359009613,-0.0955064107246608
-0.9664754263144067,0.3609003721998908,0.604747663466476,1.1439011020592271,-0.3683445008615102,-0.0931709964892928
-0.9774040808814992,0.3499718822874664,0.6049788586460279,1.1301738617235966,-0.3662217286319912,-0.0906780541520043
